,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Avarua,4,CK,1580319106,94,-21.21,-159.78,75.2,11.25
1,Jalu,0,LY,1580319229,38,29.03,21.55,60.17,4.0
2,Pevek,100,RU,1580319229,98,69.7,170.31,-18.18,10.2
3,Kruisfontein,87,ZA,1580319230,83,-34.0,24.73,64.35,9.44
4,Ribeira Grande,75,PT,1580319230,93,38.52,-28.7,62.6,11.41
5,Bluff,66,NZ,1580319230,69,-46.6,168.33,53.01,3.0
6,Srednekolymsk,6,RU,1580319230,83,67.45,153.68,-27.62,5.68
7,Mataura,3,NZ,1580319230,69,-46.19,168.86,53.01,3.0
8,Hermanus,47,ZA,1580319230,69,-34.42,19.23,68.0,8.01
9,Albany,40,US,1580319023,50,42.6,-73.97,35.01,5.82
10,Rikitea,91,PF,1580319231,78,-23.12,-134.97,79.63,9.08
11,Norman Wells,90,CA,1580319231,75,65.28,-126.83,-20.2,1.79
12,Turaif,75,SA,1580319004,76,31.67,38.66,51.8,13.87
13,Nara,20,JP,1580319232,75,34.69,135.8,46.4,13.87
14,Punta Arenas,75,CL,1580319232,62,-53.15,-70.92,51.8,14.99
15,Cardston,40,CA,1580319232,64,49.2,-113.3,37.4,10.29
16,Tezu,44,IN,1580319232,44,27.92,96.17,54.81,2.71
17,Tasiilaq,100,GL,1580319232,79,65.61,-37.64,28.4,34.45
18,Troitskoye,100,RU,1580319233,95,52.98,84.68,-2.92,8.39
19,Thompson,90,CA,1580318938,85,55.74,-97.86,10.4,6.93
20,Busselton,80,AU,1580319233,60,-33.65,115.33,66.0,8.72
21,Geraldton,75,AU,1580319039,73,-28.77,114.6,71.6,8.05
22,Huilong,0,CN,1580319234,71,31.81,121.66,41.0,10.69
23,Ushuaia,40,AR,1580319212,66,-54.8,-68.3,51.8,25.28
24,Touros,20,BR,1580319234,55,-5.2,-35.46,89.6,17.22
25,Terme,67,TR,1580319234,50,41.21,36.97,53.6,2.24
26,New Norfolk,0,AU,1580319234,33,-42.78,147.06,75.99,17.22
27,Suleja,22,NG,1580319235,22,9.18,7.18,91.4,2.24
28,Zaysan,33,KZ,1580319235,89,47.47,84.87,-1.37,0.96
29,Buala,100,SB,1580319235,80,-8.14,159.59,79.99,5.19
30,Vaini,40,TO,1580319235,100,-21.2,-175.2,75.2,5.82
31,Cherskiy,100,RU,1580319235,97,68.75,161.3,-27.4,4.18
32,Hithadhoo,100,MV,1580319236,76,-0.6,73.08,81.99,8.81
33,Mar del Plata,84,AR,1580319236,52,-38.0,-57.56,69.01,16.11
34,Port Alfred,71,ZA,1580319236,85,-33.59,26.89,70.0,1.99
35,Kidal,42,ML,1580319236,10,18.44,1.41,77.05,3.67
36,Youkounkoun,28,GN,1580319236,3,12.53,-13.13,98.8,4.43
37,Lorengau,98,PG,1580319237,82,-2.02,147.27,82.26,9.17
38,Porto,75,PT,1580319130,100,41.15,-8.61,61.0,16.11
39,Inhambane,0,MZ,1580319237,65,-23.86,35.38,78.8,4.7
40,Castro,47,BR,1580319066,44,-24.79,-50.01,84.92,3.06
41,Birin,13,NP,1580319237,87,26.89,88.07,40.73,3.69
42,Montevideo,75,UY,1580319035,61,-34.83,-56.17,82.4,20.8
43,Weihe,0,CN,1580319238,67,33.0,105.32,32.18,1.66
44,Saint George,1,US,1580319022,69,37.1,-113.58,42.01,6.26
45,Arraial do Cabo,40,BR,1580319238,70,-22.97,-42.03,87.8,11.41
46,Novyy Urengoy,95,RU,1580319238,96,66.08,76.63,-7.04,12.17
47,Bengkulu,100,ID,1580319239,73,-3.8,102.27,73.65,3.24
48,Vestmannaeyjar,0,IS,1580319239,68,63.44,-20.27,30.2,2.24
49,Mirzapur,20,IN,1580319239,82,25.15,82.58,66.2,2.24
50,Kapaa,1,US,1580319021,88,22.08,-159.32,64.4,8.05
51,Katsuura,75,JP,1580319239,71,35.13,140.3,53.6,6.93
52,Qaanaaq,100,GL,1580319240,96,77.48,-69.36,-20.52,3.27
53,Christchurch,100,NZ,1580319091,76,-43.53,172.63,60.01,6.93
54,Berlevag,31,NO,1580319240,67,70.86,29.09,17.6,4.7
55,Kaitangata,1,NZ,1580319240,61,-46.28,169.85,53.01,8.01
56,Coahuayana Viejo,5,MX,1580319240,60,18.73,-103.68,69.8,6.04
57,Shahrud,100,IR,1580319241,61,36.42,54.98,30.16,5.39
58,Porto-Novo,0,BJ,1580319241,79,6.5,2.6,86.0,8.05
59,Benguela,100,AO,1580319047,69,-12.58,13.41,80.46,3.83
60,Khatanga,100,RU,1580319241,98,71.97,102.5,-12.98,5.17
61,Bethel,1,US,1580319242,42,41.37,-73.41,39.99,11.41
62,Saskylakh,100,RU,1580319242,98,71.92,114.08,-13.74,2.53
63,Jamestown,90,US,1580319082,74,42.1,-79.24,30.99,3.36
64,Butaritari,92,KI,1580319242,73,3.07,172.79,82.6,2.48
65,Cape Town,20,ZA,1580319002,64,-33.93,18.42,75.99,24.16
66,Barmer,0,IN,1580319243,30,25.75,71.38,62.24,2.39
67,Fare,96,PF,1580319243,74,-16.7,-151.02,82.85,10.11
68,Skowhegan,1,US,1580319243,42,44.77,-69.72,32.0,12.75
69,Farmington,1,US,1580319181,58,36.73,-108.22,36.0,4.7
70,Hobart,0,AU,1580319032,33,-42.88,147.33,75.99,17.22
71,San Jose,75,US,1580319059,87,37.34,-121.89,54.0,5.82
72,Port Macquarie,75,AU,1580319244,88,-31.43,152.92,75.2,6.93
73,East London,75,ZA,1580319245,94,-33.02,27.91,69.8,9.17
74,Leningradskiy,100,RU,1580319245,94,69.38,178.42,-12.62,14.07
75,Sorland,100,NO,1580319245,74,67.67,12.69,35.6,19.46
76,Igarka,96,RU,1580319245,98,67.47,86.58,-4.2,4.32
77,Palana,100,RU,1580319245,95,59.12,159.97,11.43,7.94
78,Sao Filipe,8,CV,1580319246,72,14.9,-24.5,71.98,15.97
79,Kodiak,100,US,1580319246,79,57.79,-152.41,23.0,18.34
80,Mayo,40,US,1580319246,48,38.89,-76.51,44.6,5.82
81,Leh,100,IN,1580319246,77,34.17,77.58,-4.58,4.45
82,Brewster,1,US,1580319246,42,41.4,-73.62,39.2,11.41
83,Tiksi,100,RU,1580319247,93,71.69,128.87,-13.74,3.76
84,Yuncheng,0,CN,1580319247,53,35.02,110.99,32.83,4.52
85,Tigre,75,AR,1580319247,73,-34.43,-58.58,82.0,11.41
86,Adrar,8,MR,1580319247,14,20.5,-10.07,81.93,10.47
87,Faanui,98,PF,1580319247,77,-16.48,-151.75,81.64,7.45
88,Saldanha,47,ZA,1580319248,56,-33.01,17.94,71.6,16.11
89,Tommot,44,RU,1580319248,82,58.96,126.29,-6.43,3.04
90,Buin,20,CL,1580319248,39,-33.73,-70.75,80.6,6.93
91,Banda Aceh,100,ID,1580319016,87,5.56,95.32,71.91,3.44
92,Buraidah,0,SA,1580319249,41,26.33,43.98,59.0,6.93
93,Usinsk,94,RU,1580319249,99,65.99,57.53,-14.62,7.7
94,Mahebourg,40,MU,1580319249,83,-20.41,57.7,75.2,4.7
95,Altay,0,CN,1580319249,59,47.87,88.12,-5.22,7.02
96,Ekhabi,0,RU,1580319249,97,53.51,142.97,-7.4,8.34
97,Dikson,61,RU,1580319250,96,73.51,80.55,-25.87,8.14
98,Constitucion,0,CL,1580319250,44,-35.33,-72.42,68.29,12.93
99,Bubaque,79,GW,1580319250,65,11.28,-15.83,78.08,13.4
100,Ponta do Sol,20,PT,1580319250,68,32.67,-17.1,66.2,10.29
101,Brookhaven,90,US,1580319058,87,31.58,-90.44,53.6,5.82
102,Dingle,88,PH,1580319251,87,11.0,122.67,71.53,4.27
103,Zharkent,78,KZ,1580319251,86,44.16,80.0,12.47,1.21
104,Provideniya,40,RU,1580319251,51,64.38,-173.3,-7.37,7.58
105,Guerrero Negro,0,MX,1580319252,65,27.98,-114.06,63.88,16.35
106,Henties Bay,0,NA,1580319252,88,-22.12,14.28,63.0,4.0
107,Port Elizabeth,75,ZA,1580319005,88,-33.92,25.57,69.8,4.7
108,La Plata,75,AR,1580319159,73,-34.92,-57.95,82.0,11.41
109,Nyurba,100,RU,1580319252,93,63.28,118.33,-1.32,4.41
110,Louis Trichardt,23,ZA,1580319005,46,-23.04,29.9,71.89,4.43
111,Olafsvik,54,IS,1580319253,79,64.89,-23.71,33.08,15.73
112,Kovur,13,IN,1580319253,82,14.48,79.98,74.03,8.88
113,Teya,100,RU,1580319253,89,60.38,92.63,3.36,7.2
114,Isangel,88,VU,1580319254,75,-19.55,169.27,75.69,6.31
115,Sainte-Rose,51,GP,1580319254,58,16.33,-61.7,86.0,10.29
116,Sobolevo,100,RU,1580319254,96,54.43,31.9,33.93,12.62
117,Kenai,90,US,1580319254,49,60.55,-151.26,28.0,23.04
118,Berdigestyakh,61,RU,1580319254,95,62.1,126.7,-9.72,7.76
119,Bambous Virieux,40,MU,1580319255,83,-20.34,57.76,75.2,4.7
120,Kitgum,100,UG,1580319255,62,3.28,32.89,70.27,3.18
121,Atuona,1,PF,1580319255,80,-9.8,-139.03,79.92,17.18
122,Atar,92,MR,1580319256,11,20.52,-13.05,86.92,12.77
123,Gari,21,RU,1580319256,90,59.43,62.35,-12.37,2.57
124,Egvekinot,98,RU,1580319256,91,66.32,-179.17,-10.93,7.09
125,Te Anau,22,NZ,1580319256,76,-45.42,167.72,46.85,8.34
126,Sao Joao da Barra,40,BR,1580319256,59,-21.64,-41.05,91.4,13.87
127,George Town,20,MY,1580319257,78,5.41,100.34,82.4,4.7
128,San Miguel de Tucuman,75,AR,1580319257,54,-26.82,-65.22,84.2,17.22
129,Leirvik,75,NO,1580319026,100,59.78,5.5,39.2,10.29
130,Puerto Ayora,20,EC,1580319258,62,-0.74,-90.35,86.0,16.11
131,Aksaray,75,TR,1580319258,75,38.37,34.03,42.8,2.24
132,Hasaki,75,JP,1580319258,87,35.73,140.83,48.2,5.82
133,Nikolskoye,75,RU,1580319258,86,59.7,30.79,30.2,13.42
134,Yellowknife,90,CA,1580319219,84,62.46,-114.35,0.0,13.87
135,Vila do Maio,0,CV,1580319259,30,15.13,-23.22,84.2,19.46
136,Carnarvon,40,AU,1580319259,83,-24.87,113.63,73.4,20.8
137,Kyren,38,RU,1580319259,85,51.68,102.14,0.9,3.87
138,Rovaniemi,90,FI,1580318985,85,66.5,25.72,15.8,11.41
139,Raja,11,SS,1580319259,14,8.46,25.68,70.48,3.6
140,Llangefni,75,GB,1580319260,87,53.26,-4.31,48.99,25.28
141,Vilhena,75,BR,1580319260,62,-12.74,-60.15,86.0,13.87
142,Beruwala,16,LK,1580319260,84,6.48,79.98,75.38,3.6
143,Lebu,5,CL,1580319260,37,-37.62,-73.65,66.52,11.3
144,Baie-Comeau,1,CA,1580319261,56,49.22,-68.15,12.99,17.22
145,Markova,75,UA,1580319261,59,48.68,24.41,35.6,4.47
146,Sur,0,OM,1580319261,50,22.57,59.53,66.13,7.99
147,Columbia,1,US,1580319232,61,34.0,-81.03,53.01,10.29
148,Evensk,100,RU,1580319262,85,61.95,159.23,-3.69,11.65
149,Oruro,75,BO,1580319262,36,-17.98,-67.15,62.6,3.36
150,Esperance,90,AU,1580319262,88,-33.87,121.9,66.2,9.17
151,Huarmey,89,PE,1580319262,48,-10.07,-78.15,83.46,9.33
152,Matagami,1,CA,1580319263,92,49.75,-77.63,5.0,4.7
153,Rawson,0,AR,1580319263,64,-43.3,-65.1,59.36,17.16
154,Lagoa,87,PT,1580319263,87,39.05,-27.98,62.47,17.05
155,Huicheng,1,CN,1580319263,53,23.04,116.29,50.0,8.95
156,Tuatapere,1,NZ,1580319263,69,-46.13,167.68,53.01,3.0
157,Gorgan,100,IR,1580319264,93,36.84,54.43,42.8,3.29
158,Manali,20,IN,1580319264,78,13.17,80.27,80.6,9.17
159,Adelaide,0,AU,1580319227,49,-34.93,138.6,84.0,4.7
160,Klaksvik,13,FO,1580319264,71,62.23,-6.59,33.8,3.71
161,Ancud,75,CL,1580319264,58,-41.87,-73.82,57.2,5.82
162,Acari,95,PE,1580319265,70,-15.43,-74.62,74.14,10.13
163,Port Augusta,0,AU,1580319265,39,-32.5,137.77,78.01,4.7
164,Casper,90,US,1580319191,92,42.87,-106.31,30.99,9.17
165,Amapa,37,BR,1580319265,82,1.0,-52.0,83.64,5.57
166,Bilibino,100,RU,1580319266,98,68.05,166.44,-24.45,3.09
167,Polovinnoye,36,RU,1580319266,93,54.79,65.99,-10.35,8.99
168,Cabinda,75,AO,1580319266,74,-5.55,12.2,82.4,6.93
169,Panguna,93,PG,1580319266,86,-6.32,155.48,71.85,2.06
170,Dawson Creek,1,CA,1580319266,68,55.77,-120.24,26.6,10.29
171,Yumen,0,CN,1580319267,47,40.28,97.2,18.32,2.39
172,High Level,75,CA,1580319267,100,58.52,-117.14,17.6,4.7
173,Harper,45,LR,1580319267,74,4.38,-7.72,82.65,6.38
174,Kabanjahe,40,ID,1580319267,94,3.1,98.49,77.0,3.36
175,Haines Junction,98,CA,1580319267,97,60.75,-137.51,1.29,4.74
176,Rizhao,0,CN,1580319268,66,35.43,119.46,28.72,10.94
177,Tual,22,ID,1580319268,76,-5.67,132.75,85.05,16.98
178,Grand Gaube,40,MU,1580319268,83,-20.01,57.66,75.2,4.7
179,Terrell,90,US,1580319263,93,32.74,-96.28,44.01,11.41
180,Los Llanos de Aridane,100,ES,1580319268,77,28.66,-17.92,70.0,8.05
181,Barrow,1,US,1580319002,67,71.29,-156.79,-25.6,8.05
182,Nabire,100,ID,1580319269,94,-3.37,135.48,73.45,1.92
183,Upernavik,100,GL,1580319269,92,72.79,-56.15,-12.64,6.89
184,Dilla,72,ET,1580319269,90,6.41,38.31,56.32,4.25
185,Segovia,40,ES,1580319269,87,41.17,-4.0,51.01,8.05
186,Coyhaique,20,CL,1580319270,44,-45.58,-72.07,59.0,10.29
187,Salalah,17,OM,1580319270,49,17.02,54.09,71.6,5.82
188,Wahiawa,20,US,1580319055,93,21.5,-158.02,68.0,2.08
189,Mitzic,100,GA,1580319271,59,0.78,11.55,80.64,3.13
190,Kattivakkam,20,IN,1580319271,78,13.22,80.32,80.6,9.17
191,Rocha,80,UY,1580319271,41,-34.48,-54.33,84.78,17.0
192,Tuktoyaktuk,40,CA,1580319272,74,69.45,-133.04,-27.4,5.82
193,Fairbanks,40,US,1580319272,67,64.84,-147.72,-23.01,4.03
194,Mossamedes,53,AO,1580319272,77,-15.2,12.15,76.55,9.57
195,San Juan,99,AR,1580319272,44,-31.54,-68.54,79.75,17.2
196,Kargasok,100,RU,1580319272,95,59.06,80.86,-9.85,8.93
197,Portland,90,US,1580319023,87,45.52,-122.68,48.2,12.75
198,Padang,100,ID,1580319273,65,-0.95,100.35,66.4,3.91
199,Bredasdorp,61,ZA,1580319273,52,-34.53,20.04,69.8,9.44
200,Lompoc,1,US,1580319273,66,34.64,-120.46,64.99,11.41
201,Codrington,0,AU,1580319273,56,-38.27,141.97,69.67,12.71
202,Bambanglipuro,100,ID,1580319274,89,-7.95,110.28,76.46,2.75
203,Fortuna,20,US,1580319274,87,40.6,-124.16,48.2,4.7
204,Solnechnyy,0,RU,1580319274,76,50.72,136.63,2.26,7.38
205,Imeni Vorovskogo,90,RU,1580319274,96,55.72,38.34,33.8,6.71
206,Mana,81,GF,1580319275,56,5.66,-53.78,87.69,7.96
207,Hilo,90,US,1580319275,83,19.73,-155.09,69.8,6.93
208,Port Lincoln,0,AU,1580319275,38,-34.73,135.87,76.37,4.5
209,Susa,71,IR,1580319275,49,32.19,48.24,56.77,7.63
210,Sisimiut,58,GL,1580319275,96,66.94,-53.67,-5.15,4.05
211,Havre-Saint-Pierre,90,CA,1580319276,50,50.23,-63.6,8.6,19.46
212,Trinidad,75,BO,1580319122,94,-14.83,-64.9,80.6,9.17
213,Kiryat Gat,20,IL,1580319276,77,31.61,34.76,59.0,3.36
214,Naze,75,JP,1580319276,58,28.37,129.48,59.0,24.16
215,Nanortalik,0,GL,1580319276,62,60.14,-45.24,22.28,23.09
216,Amberley,90,US,1580319277,64,39.2,-84.43,35.6,8.05
217,Abong Mbang,71,CM,1580319277,22,3.98,13.18,77.68,1.48
218,Ostrovnoy,45,RU,1580319277,96,68.05,39.51,3.61,5.77
219,Ubauro,0,PK,1580319278,34,28.17,69.73,59.79,8.43
220,Ternate,28,ID,1580319230,93,0.8,127.4,74.68,1.9
221,Saint-Francois,90,FR,1580319278,66,46.42,3.91,48.2,2.24
222,Alekseyevsk,100,RU,1580319278,96,57.84,108.35,12.7,5.82
223,Antalaha,100,MG,1580319278,69,-14.9,50.28,81.72,7.0
224,Netrakona,5,BD,1580319279,68,24.88,90.72,62.83,4.03
225,Kathmandu,20,NP,1580319279,87,27.72,85.32,48.2,2.24
226,Alghero,11,IT,1580319143,71,40.56,8.32,55.4,11.41
227,Anniston,100,US,1580319279,76,33.66,-85.83,53.6,4.7
228,Namatanai,67,PG,1580319280,79,-3.67,152.43,83.73,14.58
229,Ponta Delgada,75,PT,1580319280,93,37.73,-25.67,62.6,13.87
230,Zhigansk,100,RU,1580319280,95,66.77,123.37,-13.16,15.08
231,Lavrentiya,0,RU,1580319280,66,65.58,-171.0,-11.4,9.69
232,Belaya Gora,100,RU,1580319280,83,68.53,146.42,-14.87,6.91
233,Grants,90,US,1580319281,63,35.15,-107.85,30.2,2.44
234,Sanger,90,US,1580319281,100,36.71,-119.56,51.01,3.38
235,Mabaruma,94,GY,1580319281,87,8.2,-59.78,81.07,4.99
236,Aliwal North,4,ZA,1580319281,17,-30.69,26.71,77.5,8.75
237,Souillac,40,MU,1580319282,83,-20.52,57.52,75.2,4.7
238,Opuwo,89,NA,1580319282,36,-18.06,13.84,80.24,15.84
239,Zachepylivka,100,UA,1580319282,80,49.19,35.24,44.13,17.58
240,Vao,2,NC,1580319282,70,-22.67,167.48,76.1,10.85
241,Viedma,0,AR,1580319283,22,-40.81,-63.0,69.66,21.59
242,Shimoda,0,JP,1580319283,81,34.67,138.95,48.99,1.99
243,Kondinskoye,0,RU,1580319283,99,59.65,67.41,-17.7,4.52
244,Acapulco de Juarez,5,MX,1580319158,58,16.86,-99.89,82.4,3.36
245,Ketchikan,90,US,1580319283,81,55.34,-131.65,42.8,23.04
246,Kelso,90,US,1580319284,87,46.15,-122.91,48.2,11.41
247,La Asuncion,16,VE,1580319284,70,11.03,-63.86,86.0,14.99
248,Nouadhibou,100,MR,1580319284,24,20.93,-17.03,82.4,6.93
249,Marzuq,21,YE,1580319284,57,14.4,46.47,62.4,2.62
250,Glendive,1,US,1580319185,69,47.11,-104.71,35.6,3.18
251,Beringovskiy,99,RU,1580319285,95,63.05,179.32,3.72,8.72
252,Scottsbluff,90,US,1580319161,100,41.87,-103.67,35.01,6.93
253,Chutove,100,UA,1580319285,84,49.71,35.16,42.53,16.2
254,Zyryanka,5,RU,1580319285,87,65.75,150.85,-23.76,11.01
255,Arecibo,1,PR,1580319162,75,18.47,-66.72,84.99,10.29
256,Varberg,40,SE,1580319286,86,57.11,12.25,42.01,12.75
257,Pochutla,40,MX,1580319286,74,15.74,-96.47,84.0,11.41
258,Clyde River,40,CA,1580319287,74,70.47,-68.59,-25.6,4.99
259,Kumul,0,CN,1580319287,72,42.8,93.45,8.6,1.74
260,Riyadh,60,SA,1580319179,44,24.69,46.72,60.8,4.45
261,Hirara,95,JP,1580319287,76,24.8,125.28,58.33,29.91
262,Wilmington,1,US,1580319029,47,34.23,-77.94,57.0,4.88
263,San Cristobal,40,VE,1580319288,69,7.77,-72.22,82.4,10.29
264,Okha,0,RU,1580319288,97,53.57,142.95,-7.4,8.34
265,Darhan,26,MN,1580319288,84,49.49,105.92,3.0,7.31
266,Northampton,1,US,1580319288,41,40.88,-75.25,39.99,14.99
267,Alofi,66,NU,1580319288,100,-19.06,-169.92,77.0,2.24
268,Cittanova,75,IT,1580319289,67,38.36,16.08,61.0,8.05
