,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
269,Carbondale,90,US,1580318976,86,37.73,-89.22,35.6,8.05
270,Raudeberg,75,NO,1580319289,89,61.99,5.14,37.99,8.05
271,Faya,36,SA,1580319289,87,18.39,42.45,57.2,4.7
272,College,40,US,1580319290,67,64.86,-147.8,-13.0,5.03
273,Laguna,1,US,1580319290,81,38.42,-121.42,55.4,17.22
274,Anadyr,75,RU,1580319290,83,64.75,177.48,-4.0,4.47
275,Saint-Martin-Boulogne,20,FR,1580319290,81,50.73,1.62,48.2,9.17
276,Cidreira,100,BR,1580319290,83,-30.18,-50.21,76.01,15.75
277,Bandarbeyla,100,SO,1580319291,69,9.49,50.81,74.17,19.53
278,Bac Lieu,56,VN,1580319291,94,9.29,105.72,71.87,3.44
279,Cockburn Town,40,TC,1580319269,66,21.46,-71.14,84.2,6.93
280,Sitka,90,US,1580319291,81,57.05,-135.33,42.8,25.28
281,Tabas,78,IR,1580319292,52,33.6,56.92,46.4,2.24
282,Kloulklubed,40,PW,1580319292,94,7.04,134.26,75.2,8.01
283,Valparaiso,20,CL,1580319051,72,-33.04,-71.63,68.0,9.17
284,Novopokrovka,90,UA,1580319292,100,49.84,36.55,37.4,8.95
285,Vardo,40,NO,1580319292,67,70.37,31.11,23.0,23.04
286,Kangaba,36,ML,1580319293,4,11.93,-8.42,92.05,4.97
287,Aklavik,75,CA,1580319293,74,68.22,-135.01,-23.8,8.05
288,Narsaq,20,GL,1580319293,66,60.92,-46.05,10.4,3.04
289,North Bend,90,US,1580319294,93,43.41,-124.22,53.01,8.05
290,Ixtepec,44,MX,1580319294,48,16.58,-95.1,86.4,16.55
291,Kihei,20,US,1580319207,82,20.79,-156.47,68.0,4.7
292,Vestmanna,7,FO,1580319294,83,62.16,-7.17,33.8,3.51
293,Ejido,78,VE,1580319294,83,8.55,-71.24,57.76,4.25
294,Bejar,75,ES,1580319294,87,40.39,-5.76,51.8,12.75
295,Vostok,99,RU,1580319295,99,46.49,135.88,-1.21,1.97
296,Oranjemund,1,NA,1580319295,82,-28.55,16.43,65.7,14.79
297,Shellbrook,90,CA,1580319295,92,53.22,-106.4,23.0,6.93
298,Rio Brilhante,24,BR,1580319295,46,-21.8,-54.55,93.11,8.48
299,Rubiataba,51,BR,1580319296,86,-15.16,-49.8,78.67,6.04
300,Senanga,45,ZM,1580319296,70,-16.12,23.27,74.61,7.63
301,Tiznit,70,MA,1580319296,27,29.58,-9.5,63.55,4.43
302,Maxixe,0,MZ,1580319296,65,-23.86,35.35,78.8,4.7
303,Bundaberg,6,AU,1580319297,88,-24.85,152.35,75.2,4.7
304,Bonavista,98,CA,1580319297,88,48.65,-53.11,30.0,7.0
305,Mount Gambier,0,AU,1580319297,40,-37.83,140.77,71.6,10.29
306,Waddan,0,LY,1580319297,38,29.16,16.14,65.8,5.41
307,Rome,75,US,1580319228,73,43.21,-75.46,28.99,10.29
308,Oudtshoorn,75,ZA,1580319298,72,-33.59,22.2,66.2,2.24
309,Dale,90,US,1580319298,63,38.17,-86.99,39.99,6.93
310,Trapani,40,IT,1580319298,87,37.83,12.67,63.0,17.22
311,Urdoma,99,RU,1580319298,96,61.75,48.54,1.04,4.99
312,The Valley,20,AI,1580319299,69,18.22,-63.06,84.2,6.93
313,Katangli,80,RU,1580319299,92,51.71,143.23,-4.92,1.07
314,Camocim,29,BR,1580319299,68,-2.9,-40.84,86.13,8.08
315,Batagay-Alyta,0,RU,1580319299,71,67.8,130.41,-11.67,3.98
316,Talakan,1,RU,1580319299,92,50.32,130.37,-10.12,0.58
317,Paita,20,PE,1580319300,100,-5.09,-81.11,62.6,12.75
318,Mildura,0,AU,1580319300,24,-34.2,142.15,71.6,4.7
319,Kaduqli,0,SD,1580319300,12,11.02,29.72,73.8,7.25
320,Yakeshi,65,CN,1580319300,100,49.28,120.73,-9.29,1.1
321,Saraland,90,US,1580319301,100,30.82,-88.07,54.0,12.75
322,Culaman,85,PH,1580319301,96,5.96,125.66,67.95,1.77
323,Jinchang,0,CN,1580319301,22,38.5,102.17,21.74,3.29
324,Atikokan,64,CA,1580319301,86,48.76,-91.62,18.23,3.36
325,Ambilobe,100,MG,1580319301,85,-13.2,49.05,78.64,2.24
326,Baruun-Urt,32,MN,1580319302,94,46.68,113.28,0.3,7.87
327,Athabasca,67,CA,1580319302,79,54.72,-113.29,24.42,14.92
328,Petropavlovsk-Kamchatsky,3,RU,1580319302,85,53.05,158.65,15.8,4.47
329,Omsukchan,59,RU,1580319302,100,62.53,155.8,-28.57,3.33
330,Poum,36,NC,1580319303,77,-20.23,164.02,78.19,17.87
331,Pisco,90,PE,1580319303,30,-13.7,-76.22,77.0,8.05
332,Bathsheba,40,BB,1580319303,66,13.22,-59.52,86.0,14.99
333,Husavik,90,IS,1580319303,92,66.04,-17.34,26.6,1.12
334,Villa Union,5,MX,1580319303,73,23.2,-106.23,78.01,4.97
335,Vysokogornyy,75,RU,1580319304,98,50.12,139.15,-2.24,2.3
336,Bayan,49,CN,1580319304,99,46.08,127.4,-2.67,2.66
337,Kahului,20,US,1580319304,82,20.89,-156.47,68.0,4.7
338,Sabang,100,ID,1580319304,69,5.89,95.32,80.65,10.04
339,Mandera,26,KE,1580319304,28,3.94,41.87,91.42,8.61
340,Sibu,75,MY,1580319067,94,2.3,111.82,77.0,2.24
341,Kamenka,100,RU,1580319305,97,51.32,42.77,33.01,15.66
342,Aldan,44,RU,1580319305,66,58.6,125.39,3.79,12.8
343,Bafq,67,IR,1580319305,32,31.61,55.41,49.44,10.29
344,Aracati,65,BR,1580319305,63,-4.56,-37.77,86.9,8.68
345,Bone,75,DE,1580319306,80,51.97,12.14,42.01,25.28
346,Iqaluit,90,CA,1580319023,69,63.75,-68.51,-13.0,3.06
347,Port Blair,100,IN,1580319306,74,11.67,92.75,77.86,12.97
348,Benjamin Constant,75,BR,1580319306,70,-4.38,-70.03,87.8,5.82
349,Guasdualito,37,VE,1580319306,28,7.24,-70.73,97.23,8.19
350,Redlands,20,US,1580319304,27,34.06,-117.18,69.8,8.05
351,Trairi,71,BR,1580319129,59,-3.28,-39.27,86.22,6.93
352,Chokurdakh,94,RU,1580319307,82,70.63,147.92,-24.27,6.69
353,Kalianget,100,ID,1580319307,83,-7.05,113.93,81.64,9.13
354,Kirakira,92,SB,1580319307,85,-10.45,161.92,77.45,5.21
355,Ola,9,RU,1580319308,76,59.58,151.28,-9.04,6.73
356,Talnakh,75,RU,1580319308,84,69.49,88.4,-2.2,13.42
357,Korla,0,CN,1580319308,61,41.76,86.15,13.6,1.36
358,Abis,19,PH,1580319308,93,9.72,122.94,70.09,0.87
359,Bonthe,7,SL,1580319308,69,7.53,-12.51,83.07,11.59
360,Veinticinco de Mayo,100,AR,1580319309,39,-35.43,-60.17,82.74,4.0
361,Sola,100,VU,1580319309,71,-13.88,167.55,80.49,5.59
362,Beaverlodge,75,CA,1580319309,92,55.22,-119.44,17.6,3.36
363,Kieta,88,PG,1580319309,74,-6.22,155.63,81.59,5.14
364,Remiremont,91,FR,1580319309,87,48.02,6.59,44.6,4.7
365,Sakaiminato,75,JP,1580319310,87,35.55,133.23,44.6,10.29
366,Torbay,75,CA,1580319244,86,47.67,-52.73,30.99,9.17
367,Taloqan,0,AF,1580319310,57,36.74,69.53,29.07,0.63
368,Ilulissat,75,GL,1580319310,71,69.22,-51.1,5.0,18.34
369,Khanbari,89,NP,1580319311,83,27.37,87.2,35.42,0.81
370,Chifeng,77,CN,1580319311,78,42.27,118.96,10.89,3.27
371,Lulea,90,SE,1580319311,92,65.58,22.15,17.6,6.93
372,Kamina,71,CD,1580319311,93,-8.74,24.99,66.15,2.48
373,Alice Springs,90,AU,1580319156,100,-23.7,133.88,73.4,10.29
374,Micheweni,2,TZ,1580319312,84,-4.97,39.83,81.97,13.02
375,Yerbogachen,100,RU,1580319312,94,61.28,108.01,13.51,6.78
376,Mogadishu,99,SO,1580319312,78,2.04,45.34,79.56,26.57
377,Rochester,90,US,1580319113,73,43.15,-77.62,27.0,6.93
378,Kailua,20,US,1580319312,93,21.4,-157.74,68.0,5.82
379,Saint-Joseph,0,RE,1580319313,69,-21.37,55.62,77.0,3.36
380,Vila Velha,40,BR,1580319313,74,-20.33,-40.29,86.0,14.99
381,Shahumyan,23,AM,1580319313,58,39.94,44.57,28.4,2.24
382,Hoa Binh,37,VN,1580319313,87,20.81,105.34,55.4,2.24
383,Matara,59,LK,1580319313,92,5.95,80.54,71.53,6.58
384,Omboue,86,GA,1580319314,86,-1.57,9.26,78.98,4.03
385,Saint-Philippe,4,RE,1580319314,69,-21.36,55.77,77.0,3.36
386,Bien Hoa,20,VN,1580319315,78,10.95,106.82,78.8,9.17
387,Laas,20,IT,1580319315,42,46.62,10.7,46.4,3.36
388,OErnskoeldsvik,90,SE,1580319315,100,63.29,18.72,30.2,9.17
389,Longyearbyen,75,SJ,1580319315,57,78.22,15.64,19.4,18.34
390,Malanje,90,AO,1580319316,94,-9.54,16.34,71.6,4.7
391,Ayan,0,RU,1580319316,62,56.45,138.17,-7.15,4.9
392,Ridgecrest,1,US,1580319094,26,35.62,-117.67,57.99,10.29
393,Sakakah,0,SA,1580319316,47,29.97,40.21,55.4,8.05
394,Gwadar,17,PK,1580319317,41,25.12,62.33,69.58,10.65
395,Ayagoz,0,KZ,1580319317,82,47.97,80.44,-4.52,6.91
396,Sirnak,49,TR,1580319317,78,37.52,42.46,31.55,4.52
397,Canico,20,PT,1580319317,68,32.63,-16.85,66.2,10.29
398,Manta,40,EC,1580319317,74,-0.95,-80.73,84.2,10.29
399,Tamandare,0,BR,1580319318,66,-8.76,-35.1,82.35,9.06
400,Coari,98,BR,1580319318,80,-4.08,-63.14,86.41,4.74
401,Dwarka,0,IN,1580319318,51,22.24,68.97,69.57,8.75
402,Beyneu,85,KZ,1580319318,76,45.32,55.2,36.86,18.99
403,Severo-Kuril'sk,93,RU,1580319318,90,50.68,156.12,18.39,5.93
404,Baiyin,0,CN,1580319319,51,36.56,104.21,18.0,6.71
405,Anloga,2,GH,1580319319,66,5.79,0.9,86.0,9.17
406,Sao Geraldo do Araguaia,79,BR,1580319319,86,-6.4,-48.55,81.14,3.87
407,Sept-Iles,75,CA,1580319319,47,50.2,-66.38,15.01,17.22
408,Dongsheng,0,CN,1580319319,63,39.82,109.98,18.03,5.35
409,Libertador General San Martin,0,AR,1580319320,35,-23.81,-64.79,89.91,6.13
410,Cabedelo,40,BR,1580319320,58,-6.98,-34.83,87.8,14.99
411,Salina,90,US,1580319182,70,38.84,-97.61,35.01,4.36
412,Hualmay,100,PE,1580319320,55,-11.1,-77.61,81.59,11.43
413,Taoudenni,0,ML,1580319320,14,22.68,-3.98,73.81,10.38
414,Brae,75,GB,1580319321,93,60.4,-1.35,42.8,3.36
415,Dalvik,90,IS,1580319321,92,65.97,-18.53,26.6,1.12
416,Kalmunai,45,LK,1580319321,72,7.42,81.82,79.75,10.69
417,Camara de Lobos,20,PT,1580319321,68,32.63,-16.97,66.2,10.29
418,Stornoway,40,GB,1580319321,100,58.21,-6.39,39.2,4.7
419,Karratha,6,AU,1580319322,78,-20.74,116.85,85.75,16.91
420,Shingu,32,JP,1580319322,67,33.73,135.98,49.39,16.26
421,Gamba,85,GA,1580319322,84,-2.65,10.0,80.47,5.75
422,Plast,85,RU,1580319322,86,54.37,60.81,1.26,6.96
423,Makaha,75,US,1580319322,88,21.47,-158.22,68.0,4.7
424,Chui,96,UY,1580319323,47,-33.7,-53.46,85.3,2.8
425,Coquimbo,20,CL,1580319037,60,-29.95,-71.34,73.4,9.17
426,Plettenberg Bay,97,ZA,1580319323,84,-34.05,23.37,65.37,3.29
427,Ugoofaaru,28,MV,1580319323,74,5.67,73.0,80.73,12.21
428,Asau,19,RO,1580319324,55,46.43,26.4,36.0,4.7
429,Verkhoyansk,95,RU,1580319324,97,67.54,133.38,-16.28,3.09
430,Assiniboia,0,CA,1580319324,93,49.63,-105.98,16.18,4.38
431,Vastseliina,100,EE,1580319324,93,57.73,27.29,35.6,6.71
432,Molteno,79,ZA,1580319324,69,-31.4,26.36,62.44,19.89
433,Lalmohan,17,BD,1580319325,63,22.34,90.74,68.0,3.8
434,Jumla,100,NP,1580319325,94,29.27,82.18,24.84,2.93
435,Tazmalt,75,DZ,1580319325,82,36.39,4.4,59.0,6.93
436,San Juan del Parana,75,PY,1580319325,62,-27.3,-55.97,91.4,8.05
437,Muli,50,MV,1580319326,77,2.92,73.57,80.8,12.8
438,Santander,75,ES,1580319326,72,43.46,-3.8,61.0,3.36
439,Borova,75,UA,1580319326,96,50.18,30.1,33.01,11.18
440,Almazar,90,UZ,1580319326,100,40.32,69.01,28.4,2.24
441,Arawa,88,PG,1580319327,74,-6.21,155.54,81.59,5.14
442,Carballo,40,ES,1580319327,87,43.21,-8.69,60.01,17.22
443,Boueni,80,YT,1580319327,83,-12.9,45.08,84.2,6.93
444,Meulaboh,92,ID,1580319327,72,4.14,96.13,80.38,3.38
445,Mount Isa,75,AU,1580319327,100,-20.73,139.5,77.0,14.99
446,Muros,75,ES,1580319328,93,42.78,-9.06,59.0,17.22
447,Nemuro,100,JP,1580319328,97,43.32,145.57,32.32,29.82
448,Pangnirtung,75,CA,1580319328,68,66.15,-65.71,-20.2,2.24
449,Cody,1,US,1580319328,51,44.53,-109.06,37.4,6.93
450,Andenes,79,NO,1580319328,73,69.31,16.12,26.6,20.8
451,Toktogul,34,KG,1580319329,40,41.87,72.94,7.81,3.87
452,Vila Franca do Campo,75,PT,1580319206,93,37.72,-25.43,62.6,13.87
453,Adre,0,TD,1580319329,8,13.47,22.2,66.72,11.1
454,Uray,0,RU,1580319053,95,60.12,64.78,-16.92,3.22
455,Varhaug,40,NO,1580319329,86,58.61,5.65,41.0,4.7
456,Shubarshi,100,KZ,1580319330,94,48.59,57.19,18.23,14.29
457,Rio Gallegos,75,AR,1580319330,41,-51.62,-69.22,59.0,16.11
458,Manyana,13,BW,1580319330,25,-23.4,21.72,83.14,6.49
459,Dukat,58,RU,1580319330,99,62.55,155.55,-27.94,3.89
460,Itarema,64,BR,1580319331,51,-2.92,-39.92,89.35,10.4
461,Pleasanton,1,US,1580319173,87,37.66,-121.87,55.0,3.74
462,Kawalu,100,ID,1580319331,96,-7.38,108.21,71.2,3.74
463,Ilhabela,0,BR,1580319331,85,-23.78,-45.36,79.56,15.9
464,Camiri,20,BO,1580319331,51,-20.05,-63.52,86.0,6.93
465,Westport,1,US,1580319332,43,41.14,-73.36,39.2,12.75
466,Oistins,40,BB,1580319192,66,13.07,-59.53,86.0,14.99
467,Jamame,28,SO,1580319332,81,0.07,42.75,80.33,23.76
468,Hof,75,DE,1580319333,90,50.32,11.92,37.0,12.75
469,Sagarejo,81,GE,1580319333,45,41.73,45.33,48.2,6.93
470,Porbandar,0,IN,1580319333,52,21.64,69.61,64.4,9.17
471,Tabuk,91,PH,1580319333,94,17.42,121.44,63.16,2.53
472,Teknaf,4,BD,1580319334,66,20.86,92.31,61.88,2.19
473,Mareeba,90,AU,1580319334,88,-17.0,145.43,79.0,5.82
474,Cacu,83,BR,1580319334,73,-18.56,-51.13,82.94,9.89
475,Murygino,100,RU,1580319334,95,58.74,49.46,12.69,7.34
476,Nova Prata,90,BR,1580319335,100,-28.78,-51.61,69.01,4.7
477,Samarai,100,PG,1580319335,86,-10.62,150.67,76.84,4.47
478,Malbork,75,PL,1580319335,93,54.04,19.03,39.0,9.17
479,Mikumi,86,TZ,1580319335,92,-7.4,36.98,71.85,0.94
480,Musoma,40,TZ,1580319335,73,-1.5,33.8,73.4,2.3
481,Morgan City,90,US,1580319336,87,29.7,-91.21,61.0,9.17
482,Kutum,0,SD,1580319336,11,14.2,24.67,57.85,7.2
483,Vilanova del Cami,20,ES,1580319336,87,41.57,1.64,57.0,6.93
484,Mapiripan,41,CO,1580319337,30,2.89,-72.13,98.01,9.19
485,Nome,1,US,1580319337,68,64.5,-165.41,-17.0,4.7
486,Masakin,0,TN,1580319337,59,35.73,10.58,64.4,8.05
487,Vikhorevka,100,RU,1580319337,100,56.12,101.16,15.8,6.71
488,Puerto Escondido,20,MX,1580319338,69,15.85,-97.07,82.4,6.93
489,Hambantota,13,LK,1580319338,79,6.12,81.12,77.67,19.37
490,Bull Savanna,3,JM,1580319338,56,17.89,-77.59,80.76,7.05
491,Caravelas,37,BR,1580319326,79,-17.71,-39.25,80.96,11.43
492,Avera,90,US,1580319338,81,33.19,-82.53,51.8,3.36
493,Lebedinyy,44,RU,1580319339,66,58.52,125.52,3.79,12.8
494,Sydney,20,AU,1580319166,88,-33.87,151.21,69.8,3.42
495,Moranbah,100,AU,1580319339,94,-22.0,148.05,73.94,8.63
496,Rio Grande,40,BR,1580319339,58,-32.03,-52.1,86.0,1.12
497,Hong Kong,0,HK,1580319317,37,22.29,114.16,59.0,11.41
498,Kuytun,100,RU,1580319340,81,54.34,101.5,18.48,11.07
499,Along,13,IN,1580319340,70,28.17,94.77,47.3,3.71
500,Byron Bay,75,AU,1580319340,94,-28.65,153.62,75.99,0.94
501,Kingori,75,TZ,1580319340,74,-3.28,36.98,78.8,11.41
502,Setermoen,85,NO,1580319341,84,68.86,18.35,8.01,18.34
503,Krasnyy Chikoy,29,RU,1580319341,97,50.36,108.75,0.68,1.63
504,Gambo,70,CF,1580319341,17,4.65,22.26,82.4,2.8
505,Haverfordwest,86,GB,1580319342,93,51.8,-4.97,46.99,26.4
506,Nouakchott,84,MR,1580319251,7,18.09,-15.98,96.8,17.22
507,San Antero,75,CO,1580319342,59,9.37,-75.76,89.6,8.05
508,Kiunga,100,PG,1580319342,97,-6.12,141.29,73.72,2.06
509,Scarborough,92,GB,1580319187,75,54.28,-0.4,46.99,16.11
510,Corn Island,23,NI,1580319343,68,12.17,-83.04,79.74,7.56
511,Sitrah,0,BH,1580319343,59,26.15,50.62,62.6,8.05
512,Puerto Baquerizo Moreno,75,EC,1580319343,78,-0.9,-89.6,82.4,9.17
513,Davila,100,PH,1580319343,81,18.47,120.58,72.43,19.28
514,Nanakuli,75,US,1580319344,88,21.39,-158.15,68.0,4.7
515,Yulara,99,AU,1580319344,45,-25.24,130.99,86.0,10.29
516,Cabo San Lucas,20,MX,1580319344,49,22.89,-109.91,73.0,4.7
517,Puerto Cabezas,75,NI,1580319344,79,14.04,-83.39,84.2,6.93
518,Boyolangu,100,ID,1580319344,94,-8.12,111.89,75.42,2.8
519,Nelson Bay,58,AU,1580319345,94,-32.72,152.15,72.0,3.36
520,Moron,75,AR,1580319244,73,-34.65,-58.62,82.0,11.41
521,Kavieng,78,PG,1580319345,78,-2.57,150.8,83.68,7.52
522,Pontianak,40,ID,1580319346,94,-0.03,109.33,78.8,2.28
523,Kwang Binh,98,VN,1580319346,93,17.48,106.6,56.64,4.79
524,Palasa,24,IN,1580319346,75,18.77,84.42,71.98,5.77
525,Sambava,100,MG,1580319346,82,-14.27,50.17,76.1,0.63
526,Zenzeli,100,RU,1580319346,81,45.92,47.05,38.19,7.65
527,Seoul,75,KR,1580319285,64,37.57,126.98,37.4,2.77
528,Khorixas,76,NA,1580319347,21,-20.37,14.97,87.96,19.89
529,Grand Falls,40,CA,1580319347,66,47.05,-67.74,12.99,14.99
530,Kumluca,31,TR,1580319347,80,36.37,30.29,47.1,3.85
531,Pringsewu,100,ID,1580319347,94,-5.36,104.97,71.1,1.45
532,Sorong,33,ID,1580319348,96,-0.88,131.25,75.85,3.98
533,Luderitz,15,NA,1580319348,72,-26.65,15.16,68.0,13.87
534,San Policarpo,83,PH,1580319348,85,12.18,125.51,75.83,4.61
535,Praia da Vitoria,20,PT,1580319348,72,38.73,-27.07,68.0,11.14
536,Airai,98,TL,1580319349,81,-8.93,125.41,68.59,3.8
537,Flic en Flac,40,MU,1580319349,83,-20.27,57.36,75.2,4.7
538,Mahabalipuram,20,IN,1580319349,78,12.63,80.17,80.6,9.17
